feature,importance_mean,importance_std
diff_elo_pre,0.10105720582806763,0.009778125000135024
diff_reb_rolling5,0.0037878911254423777,0.0024375343127264904
diff_tov_rolling5,0.003729534449438654,0.0008465581101396294
diff_fg_pct_rolling5,0.0036979132738366284,0.0022184235105905774
diff_fg3_pct_rolling5,0.0027857848565782883,0.0011736050443556783
diff_back_to_back,0.0017163648405098542,0.0011754947571166806
diff_fga_rolling5,0.0015844516101013672,0.001471313394461989
diff_rest_days,0.0015623303584999747,0.0007887612889564951
diff_dreb_rolling5,0.0013907888736889751,0.0031821739776992457
diff_win_streak,0.0012827611664820715,0.0012557808378951903
diff_ft_pct_rolling5,0.0009379139252600144,0.0020035975848444712
diff_fg3m_rolling5,0.0008068149740515951,0.0021888700056700767
diff_fg3a_rolling5,0.0006383948928408323,0.0020262517244017866
diff_blk_rolling5,0.0006369020476407305,0.0011856039140824193
diff_ast_rolling5,0.0004344179532277725,0.002398644827485834
diff_fta_rolling5,0.0001898627668121211,0.0008515389487090546
diff_oreb_rolling5,2.157839880138068e-05,0.001907488344404215
diff_pf_rolling5,-0.0006506090808416687,0.0012257496017640307
diff_win_rate_5,-0.0007566010900484698,0.00226500169344444
diff_fgm_rolling5,-0.0012320044296788679,0.0009669195115535755
diff_ftm_rolling5,-0.0013693461880876722,0.000867917480859923
diff_pts_rolling5,-0.001965669988925811,0.0017998226255601885
diff_stl_rolling5,-0.0019801913013267614,0.0020747917683884964
