model,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.6146341463414634,0.66,0.6932773109243697,0.6762295081967213,0.6486819534015156
gradient_boosting,0.6138211382113821,0.6643741403026134,0.6764705882352942,0.6703678001387925,0.6341497839445855
random_forest,0.6065040650406504,0.6584022038567493,0.6694677871148459,0.6638888888888889,0.6298544611643107
baseline_home_win,0.5804878048780487,0.5804878048780487,1.0,0.7345679012345679,0.5
