game_date,game_id,home_team,away_team,home_win_proba,sim_home_win
2022-10-30,22200094,PHX,HOU,0.9089414387074672,1
2022-10-30,22200095,LAL,DEN,0.31917287616944995,0
2022-10-31,22200096,CHA,SAC,0.6842001617895731,1
2022-10-31,22200097,WAS,PHI,0.20268998835465668,0
2022-10-31,22200098,BKN,IND,0.6762977305764347,1
2022-10-31,22200099,TOR,ATL,0.6587787920145256,1
2022-10-31,22200100,MIL,DET,0.8935599357044121,1
2022-10-31,22200101,UTA,MEM,0.5271783031238476,1
2022-10-31,22200102,LAC,HOU,0.7669697648262087,1
2022-11-01,22200103,BKN,CHI,0.42957356384109363,1
2022-11-01,22200104,MIA,GSW,0.6331196434053368,1
2022-11-01,22200105,OKC,ORL,0.6395756760340808,0
2022-11-01,22200106,PHX,MIN,0.6989255310575991,1
2022-11-02,22200107,CLE,BOS,0.35827059251180554,0
2022-11-02,22200108,PHI,WAS,0.808559425843738,1
2022-11-02,22200109,MIA,SAC,0.7516700158111275,1
2022-11-02,22200110,NYK,ATL,0.5159004866553476,1
2022-11-02,22200111,CHI,CHA,0.5736764671289467,1
2022-11-02,22200112,HOU,LAC,0.29291633501354125,1
2022-11-02,22200113,MIL,DET,0.8729976938630456,0
2022-11-02,22200114,SAS,TOR,0.3869906924533636,0
2022-11-02,22200115,DAL,UTA,0.6128841192010669,0
2022-11-02,22200116,POR,MEM,0.35749380001564973,0
2022-11-02,22200117,LAL,NOP,0.37213859926239307,0
2022-11-03,22200118,ORL,GSW,0.27608241401421757,1
2022-11-03,22200119,OKC,DEN,0.3179161482283595,0
2022-11-04,22200120,DET,CLE,0.33196769677671073,0
2022-11-04,22200121,IND,MIA,0.25832944680311415,0
2022-11-04,22200122,PHI,NYK,0.711642677575217,0
2022-11-04,22200123,WAS,BKN,0.4886614390895531,1
2022-11-04,22200124,BOS,CHI,0.669576247076359,1
2022-11-04,22200125,MEM,CHA,0.6917865416883353,1
2022-11-04,22200126,SAS,LAC,0.5272586954147406,1
2022-11-04,22200127,DAL,TOR,0.5179559786693843,0
2022-11-04,22200128,NOP,GSW,0.607502970720859,0
2022-11-04,22200129,MIN,MIL,0.3986515409434298,1
2022-11-04,22200130,PHX,POR,0.8673555088685494,1
2022-11-04,22200131,LAL,UTA,0.33675196568440446,0
2022-11-05,22200132,ORL,SAC,0.5029492246028745,1
2022-11-05,22200133,CHA,BKN,0.5304989444558535,1
2022-11-05,22200134,ATL,NOP,0.5849088076685771,1
2022-11-05,22200135,NYK,BOS,0.3519794627639508,0
2022-11-05,22200136,MIL,OKC,0.8172614239335174,1
2022-11-05,22200137,MIN,HOU,0.7546297456071563,1
2022-11-05,22200138,DEN,SAS,0.7437914000077713,1
2022-11-05,22200139,PHX,POR,0.8686970753525688,1
2022-11-06,22200140,LAL,CLE,0.4528361507455849,0
2022-11-06,22200141,TOR,CHI,0.7146560517631928,0
2022-11-06,22200142,MEM,WAS,0.773974927998369,1
2022-11-06,22200143,LAC,UTA,0.4555530754521787,0
2022-11-07,22200144,CHA,WAS,0.7122251246541748,1
2022-11-07,22200145,ORL,HOU,0.6005950202718264,1
2022-11-07,22200146,DET,OKC,0.5171053835524546,1
2022-11-07,22200147,IND,NOP,0.34752270847654143,0
2022-11-07,22200148,PHI,PHX,0.37146066526097843,0
2022-11-07,22200149,ATL,MIL,0.318726664523821,1
2022-11-07,22200150,MIA,POR,0.7919369084179344,1
2022-11-07,22200151,CHI,TOR,0.3420927946709168,0
2022-11-07,22200152,MEM,BOS,0.4690201994164921,1
2022-11-07,22200153,MIN,NYK,0.6138116613370195,1
2022-11-07,22200154,SAS,DEN,0.35051509316667817,0
2022-11-07,22200155,DAL,BKN,0.6775276960665819,0
2022-11-07,22200156,GSW,SAC,0.7238434649220576,1
2022-11-07,22200157,UTA,LAL,0.8001644904130621,1
2022-11-07,22200158,LAC,CLE,0.5094149816184317,0
2022-11-09,22200159,CHA,POR,0.6995542900576449,1
2022-11-09,22200160,IND,DEN,0.30446858818098455,0
2022-11-09,22200161,ORL,DAL,0.20084348994725792,0
2022-11-09,22200162,ATL,UTA,0.4487284829784928,0
2022-11-09,22200163,BOS,DET,0.8657039063611697,1
2022-11-09,22200164,BKN,NYK,0.575857597314877,1
2022-11-09,22200165,TOR,HOU,0.8729064728680881,1
2022-11-09,22200166,CHI,NOP,0.5585740134329581,0
2022-11-09,22200167,MIN,PHX,0.306526935450318,0
2022-11-09,22200168,OKC,MIL,0.18172505837671843,0
2022-11-09,22200169,SAS,MEM,0.3403656839621531,1
2022-11-09,22200170,LAC,LAL,0.7144467419391966,1
2022-11-09,22200171,SAC,CLE,0.33047326072221567,0
2022-11-10,22200172,WAS,DAL,0.36601519588053755,1
2022-11-10,22200173,ATL,PHI,0.40612875448692154,0
2022-11-10,22200174,MIA,CHA,0.6814155686765996,1
2022-11-10,22200175,NOP,POR,0.7302858561296195,1
2022-11-11,22200176,BOS,DEN,0.5790898979779135,1
2022-11-11,22200177,ORL,PHX,0.14349782592024315,0
2022-11-11,22200178,NYK,DET,0.7318700086926945,1
2022-11-11,22200179,OKC,TOR,0.21360455371488066,0
2022-11-11,22200180,SAS,MIL,0.26269502503682696,1
2022-11-11,22200181,MEM,MIN,0.7140470407589125,1
2022-11-11,22200182,GSW,CLE,0.5425004924765007,1
2022-11-11,22200183,LAL,SAC,0.47676593945732443,0
2022-11-12,22200184,LAC,BKN,0.5204120966426261,0
2022-11-12,22200185,WAS,UTA,0.31739767879665964,1
2022-11-12,22200186,DET,BOS,0.2079120237651204,0
2022-11-12,22200187,IND,TOR,0.32846476182990586,0
2022-11-12,22200188,PHI,ATL,0.5790380878897922,1
2022-11-12,22200189,MIA,CHA,0.6717587442961843,1
2022-11-12,22200190,DAL,POR,0.7952905564310494,1
2022-11-12,22200191,NOP,HOU,0.739199887054639,1
2022-11-13,22200192,NYK,OKC,0.7070714173329586,0
2022-11-13,22200193,CLE,MIN,0.5779239096250782,0
2022-11-13,22200194,WAS,MEM,0.2481132661744238,0
2022-11-13,22200195,PHI,UTA,0.5469472939218653,1
2022-11-13,22200196,CHI,DEN,0.41213196816960146,1
2022-11-13,22200197,SAC,GSW,0.463672648967277,0
2022-11-13,22200198,LAL,BKN,0.3669867800593546,0
2022-11-14,22200199,DET,TOR,0.24047686650814432,0
2022-11-14,22200200,ORL,CHA,0.44392762752025045,0
2022-11-14,22200201,BOS,OKC,0.8762026603250748,1
