feature,importance_mean,importance_std
diff_elo_pre,0.1222006438234208,0.011647917720077465
diff_pts_rolling5,0.004985831541919061,0.0015825259919298748
diff_reb_rolling5,0.0032590167850085174,0.0017756577549851555
diff_ft_pct_rolling5,0.0026086791305669045,0.0014220098520557557
diff_back_to_back,0.0024906086465593556,0.001290679310190693
diff_ast_rolling5,0.002351909756150472,0.0016897614509259738
diff_oreb_rolling5,0.0022031680889409433,0.0018063634109466307
diff_blk_rolling5,0.0016690009337067767,0.0017063200506234877
diff_fg_pct_rolling5,0.001524602088897542,0.0014875395270918098
diff_rest_days,0.0014985451544958339,0.001240447423695467
diff_fg3m_rolling5,0.0014841595552949395,0.002491280318582525
diff_fg3_pct_rolling5,0.0009353353744598226,0.002440347411156026
diff_fgm_rolling5,0.0008465789416541636,0.003256835058729328
diff_fg3a_rolling5,0.0008188934488523647,0.0020690327434193323
diff_fta_rolling5,0.00032408312162071076,0.0013933114236587447
diff_win_rate_5,0.0002969404816189347,0.0006753154288642186
diff_ftm_rolling5,0.00013408464160854505,0.0005660931883547596
diff_pf_rolling5,-0.0008791501096563126,0.003037779350144365
diff_stl_rolling5,-0.0011500336568736503,0.002681492015819548
diff_tov_rolling5,-0.0016774151521074087,0.0015159488837001294
diff_dreb_rolling5,-0.0018307710681172095,0.0018072038730911125
diff_win_streak,-0.001942055892124339,0.001371742542994979
diff_fga_rolling5,-0.002035969426530304,0.001371742650409145
