game_id,game_date,season_id,team_id_home,team_id_away,home_team_win,home_advantage,pts_rolling5_home,reb_rolling5_home,ast_rolling5_home,tov_rolling5_home,fg_pct_rolling5_home,fg3_pct_rolling5_home,ft_pct_rolling5_home,oreb_rolling5_home,dreb_rolling5_home,fgm_rolling5_home,fga_rolling5_home,fg3m_rolling5_home,fg3a_rolling5_home,ftm_rolling5_home,fta_rolling5_home,stl_rolling5_home,blk_rolling5_home,pf_rolling5_home,win_rate_5_home,win_streak_home,rest_days_home,back_to_back_home,elo_pre_home,pts_rolling5_away,reb_rolling5_away,ast_rolling5_away,tov_rolling5_away,fg_pct_rolling5_away,fg3_pct_rolling5_away,ft_pct_rolling5_away,oreb_rolling5_away,dreb_rolling5_away,fgm_rolling5_away,fga_rolling5_away,fg3m_rolling5_away,fg3a_rolling5_away,ftm_rolling5_away,fta_rolling5_away,stl_rolling5_away,blk_rolling5_away,pf_rolling5_away,win_rate_5_away,win_streak_away,rest_days_away,back_to_back_away,elo_pre_away,diff_pts_rolling5,diff_reb_rolling5,diff_ast_rolling5,diff_tov_rolling5,diff_fg_pct_rolling5,diff_fg3_pct_rolling5,diff_ft_pct_rolling5,diff_oreb_rolling5,diff_dreb_rolling5,diff_fgm_rolling5,diff_fga_rolling5,diff_fg3m_rolling5,diff_fg3a_rolling5,diff_ftm_rolling5,diff_fta_rolling5,diff_stl_rolling5,diff_blk_rolling5,diff_pf_rolling5,diff_win_rate_5,diff_win_streak,diff_rest_days,diff_back_to_back,diff_elo_pre
22000407,2021-02-13,22020,1610612737,1610612754,0,1,114.0,44.2,26.0,13.4,0.4566,0.37779999999999997,0.8221999999999999,10.8,33.4,39.6,88.0,13.4,35.2,21.4,26.0,6.4,4.6,19.4,0.2,0,1.0,1,1454.579432888134,104.6,42.4,26.8,10.4,0.43900000000000006,0.3846,0.7626,9.2,33.2,40.2,91.8,13.6,34.8,10.6,14.0,7.8,5.6,19.0,0.2,1,2.0,0,1473.796682731721,9.400000000000006,1.8000000000000043,-0.8000000000000007,3.0,0.01759999999999995,-0.006800000000000028,0.059599999999999986,1.6000000000000014,0.19999999999999574,-0.6000000000000014,-3.799999999999997,-0.1999999999999993,0.4000000000000057,10.799999999999999,12.0,-1.3999999999999995,-1.0,0.3999999999999986,0.0,-1,-1.0,1,-19.217249843586842
22000470,2021-02-21,22020,1610612737,1610612743,1,1,114.0,39.8,22.8,12.6,0.46559999999999996,0.3266,0.8412000000000001,9.8,30.0,40.0,86.4,9.8,30.0,24.2,28.8,8.4,4.4,18.4,0.2,0,2.0,0,1443.1898078767776,113.2,41.0,24.8,14.0,0.4936,0.37,0.7931999999999999,8.6,32.4,42.2,85.6,14.0,38.0,14.8,18.8,8.0,4.4,19.8,0.6,1,2.0,0,1541.932286917013,0.7999999999999972,-1.2000000000000028,-2.0,-1.4000000000000004,-0.028000000000000025,-0.043399999999999994,0.048000000000000154,1.200000000000001,-2.3999999999999986,-2.200000000000003,0.8000000000000114,-4.199999999999999,-8.0,9.399999999999999,10.0,0.40000000000000036,0.0,-1.4000000000000021,-0.39999999999999997,-1,0.0,0,-98.74247904023537
22000490,2021-02-24,22020,1610612737,1610612738,1,1,115.4,41.0,21.6,12.8,0.477,0.3608,0.8443999999999999,11.0,30.0,40.0,84.4,11.0,30.4,24.4,28.8,8.6,4.4,18.0,0.4,0,1.0,1,1444.5378146103196,113.8,43.8,23.0,16.0,0.47540000000000004,0.3316,0.8019999999999999,10.6,33.2,41.8,88.2,12.2,36.8,18.0,22.0,7.8,6.6,24.2,0.4,0,1.0,1,1482.0158875964942,1.6000000000000085,-2.799999999999997,-1.3999999999999986,-3.1999999999999993,0.0015999999999999348,0.029200000000000004,0.04239999999999999,0.40000000000000036,-3.200000000000003,-1.7999999999999972,-3.799999999999997,-1.1999999999999993,-6.399999999999999,6.399999999999999,6.800000000000001,0.7999999999999998,-2.1999999999999993,-6.199999999999999,0.0,0,0.0,0,-37.47807298617454
22000590,2021-03-13,22020,1610612737,1610612758,1,1,107.6,49.0,23.0,15.4,0.44320000000000004,0.3428,0.825,12.8,36.2,38.0,86.0,13.8,39.6,17.8,21.6,7.6,6.2,20.4,0.6,3,2.0,0,1477.6867933265041,120.6,43.2,27.6,11.4,0.5048,0.371,0.7132,11.0,32.2,45.8,91.2,11.4,31.0,17.6,24.2,6.0,3.4,20.2,0.6,1,2.0,0,1441.7348144741406,-13.0,5.799999999999997,-4.600000000000001,4.0,-0.06159999999999999,-0.028200000000000003,0.11180000000000001,1.8000000000000007,4.0,-7.799999999999997,-5.200000000000003,2.4000000000000004,8.600000000000001,0.1999999999999993,-2.599999999999998,1.5999999999999996,2.8000000000000003,0.1999999999999993,0.0,2,0.0,0,35.95197885236348
22000597,2021-03-14,22020,1610612737,1610612739,1,1,110.0,47.2,23.0,15.0,0.457,0.3556,0.835,11.6,35.6,38.0,83.4,13.8,38.2,20.2,24.8,7.6,5.6,21.2,0.8,4,1.0,1,1484.8602627728947,103.6,46.2,22.6,17.8,0.45620000000000005,0.3444,0.7802,9.2,37.0,38.6,85.2,10.4,30.0,16.0,20.6,7.8,5.8,20.0,0.6,0,2.0,0,1428.2244676403927,6.400000000000006,1.0,0.3999999999999986,-2.8000000000000007,0.0007999999999999674,0.011200000000000043,0.05479999999999996,2.4000000000000004,-1.3999999999999986,-0.6000000000000014,-1.7999999999999972,3.4000000000000004,8.200000000000003,4.199999999999999,4.199999999999999,-0.20000000000000018,-0.20000000000000018,1.1999999999999993,0.20000000000000007,4,-1.0,1,56.635795132501926
22000626,2021-03-18,22020,1610612737,1610612760,1,1,115.2,45.4,24.0,13.6,0.471,0.4122,0.8484,10.4,35.0,39.2,83.2,15.4,37.2,21.4,25.8,6.6,6.4,21.4,1.0,6,2.0,0,1500.399039617472,110.0,45.8,21.8,17.2,0.483,0.3832,0.8184000000000001,10.2,35.6,39.8,83.0,11.8,31.0,18.6,22.8,6.0,5.4,18.6,0.6,0,2.0,0,1478.3186204786964,5.200000000000003,-0.3999999999999986,2.1999999999999993,-3.5999999999999996,-0.01200000000000001,0.029000000000000026,0.029999999999999916,0.20000000000000107,-0.6000000000000014,-0.5999999999999943,0.20000000000000284,3.5999999999999996,6.200000000000003,2.799999999999997,3.0,0.5999999999999996,1.0,2.799999999999997,0.4,6,0.0,0,22.080419138775596
22000759,2021-04-04,22020,1610612737,1610612744,1,1,119.2,42.2,26.4,11.2,0.5134,0.42860000000000004,0.7769999999999999,6.4,35.8,44.4,86.4,12.8,30.4,17.6,22.6,7.0,5.4,20.2,0.6,2,2.0,0,1525.5288024377996,105.8,38.8,24.6,16.2,0.4546,0.422,0.8478,8.2,30.6,38.4,84.0,14.2,33.8,14.8,18.0,6.4,3.8,19.8,0.2,0,2.0,0,1465.8157726905936,13.400000000000006,3.4000000000000057,1.7999999999999972,-5.0,0.05879999999999996,0.00660000000000005,-0.07080000000000009,-1.799999999999999,5.199999999999996,6.0,2.4000000000000057,-1.3999999999999986,-3.3999999999999986,2.8000000000000007,4.600000000000001,0.5999999999999996,1.6000000000000005,0.3999999999999986,0.39999999999999997,2,0.0,0,59.713029747206065
22000770,2021-04-06,22020,1610612737,1610612740,1,1,117.8,43.0,24.0,12.2,0.4902,0.4248,0.7742,6.8,36.2,42.2,85.8,12.6,30.2,20.8,26.8,7.8,5.0,19.4,0.6,3,2.0,0,1532.0858880945816,112.4,46.6,24.8,15.4,0.4708,0.3968,0.7038,9.8,36.8,40.8,87.0,12.2,30.4,18.6,27.2,7.2,5.8,21.4,0.6,1,2.0,0,1468.2532296519357,5.3999999999999915,-3.6000000000000014,-0.8000000000000007,-3.200000000000001,0.01940000000000003,0.028000000000000025,0.07040000000000002,-3.000000000000001,-0.5999999999999943,1.4000000000000057,-1.2000000000000028,0.40000000000000036,-0.1999999999999993,2.1999999999999993,-0.3999999999999986,0.5999999999999996,-0.7999999999999998,-2.0,0.0,2,0.0,0,63.83265844264588
22000780,2021-04-07,22020,1610612737,1610612763,0,1,122.0,45.2,25.2,12.0,0.49539999999999995,0.4832000000000001,0.7392,8.4,36.8,43.8,88.2,14.2,29.6,20.2,27.0,7.8,5.6,20.8,0.8,4,1.0,1,1538.538886278862,117.4,47.4,28.0,13.0,0.4984,0.3912,0.7442,10.2,37.2,44.0,88.6,13.6,33.4,15.8,21.4,8.6,4.8,18.8,0.8,3,1.0,1,1536.8539345575896,4.599999999999994,-2.1999999999999957,-2.8000000000000007,-1.0,-0.003000000000000058,0.09200000000000008,-0.0050000000000000044,-1.799999999999999,-0.4000000000000057,-0.20000000000000284,-0.3999999999999915,0.5999999999999996,-3.799999999999997,4.399999999999999,5.600000000000001,-0.7999999999999998,0.7999999999999998,2.0,0.0,1,0.0,0,1.684951721272455
22000791,2021-04-09,22020,1610612737,1610612741,1,1,122.6,46.4,24.4,12.0,0.48819999999999997,0.4734,0.7698,9.4,37.0,44.6,91.4,13.6,28.8,19.8,25.8,7.0,6.0,21.2,0.8,0,2.0,0,1526.6427657862143,114.4,47.4,29.0,12.6,0.4952,0.35419999999999996,0.8089999999999999,11.4,36.0,44.0,89.4,10.4,29.2,16.0,20.0,5.8,3.6,15.6,0.6,3,1.0,1,1474.0502644999879,8.199999999999989,-1.0,-4.600000000000001,-0.5999999999999996,-0.007000000000000006,0.11920000000000003,-0.0391999999999999,-2.0,1.0,0.6000000000000014,2.0,3.1999999999999993,-0.3999999999999986,3.8000000000000007,5.800000000000001,1.2000000000000002,2.4,5.6,0.20000000000000007,-3,1.0,-1,52.59250128622648
